의료기관명,방문 횟수
경희한사랑한의원,0
중인당한의원,0
베스트안과의원,0
행복한소아청소년과의원,0
다나의원,0
의료법인라파의료재단 예수요양병원,0
연세항운외과의원,0
우리예수의원,0
자연한의원,0
권한의원,0
푸른내과의원,0
김재권내과의원,0
강릉속편한내과의원,0
신통한의원,0
강릉율곡병원,0
영동마취통증의학과의원,0
상쾌한이비인후과의원,0
경희부부한의원,0
거북이한의원,0
도담도담소아청소년과의원,0
미소치과병원,0
성덕한의원,0
화인비뇨기과의원,0
은행나무한의원,0
강남의원,0
자운영한의원,0
주문진중앙치과병원,0
솔올한의원,0
본치과병원,0
서울의원,0
원플러스의원,0
다올의원,0
수치과병원,0
박정빈외과의원,0
본정형외과의원,0
e플러스치과병원,0
Dr. 신형직의 비타민 정신과의원,0
대동한의원,0
유디치과병원,0
서울수이비인후과의원,0
한기철내과의원,0
강릉동양한의원,0
강릉연세정형외과의원,0
공군제18전비항공의무대대의원,0
행복한내과의원,0
금강의원,0
연세신영내과의원,0
경희동의보감한의원,0
세가온산부인과의원,0
정원치과병원,0
아라치과병원,0
용한의원,0
사임당 한의원,0
노승현경희한의원,0
굿모닝치과병원,0
햇살정신건강의학과의원,0
한솔치과병원,0
맑은샘가정의학과의원,0
연세신경외과의원,0
아이앤맘소아청소년과의원,0
아이앤맘산부인과의원,0
이지마취통증의학과의원,0
옥계한의원,0
아이조은치과병원,0
임수빈신경과의원,0
솔빛안과의원,0
청담한의원,0
경희기운찬한의원,0
강릉바른이치과병원,0
뉴사랑심는치과병원,0
참사랑치과병원,0
참조은장치과병원,0
이화의원,0
열린문한의원,0
강원도립강릉요양병원,0
경희삼대한의원,0
아이앤맘어린이치과병원,0
세가온소아청소년과의원,0
맑은샘한의원,0
중앙한의원,0
강남마취통증의학과의원,0
서울에이스정형외과의원,0
심석인한의원,0
아산마취통증의학과의원,0
강릉성모안과의원,0
홍현일내과의원,0
단주한의원,0
좋은하루내과의원,0
윤덕기치과병원,0
더나은정형외과의원,0
홍제부부한의원,0
미소한의원,0
강릉바른정형외과의원,0
청플러스비뇨기과의원,0
미시간치과병원,0
퍼즐닥터의원,0
연세재활의학과의원,0
연세마디의원,0
혜현가정의학과의원,0
지앤박치과병원,0
스마일치과병원,0
강원도 고성군보건소,0
죽왕면보건지소,0
현내면보건지소,0
해흥한의원,0
도원보건진료소,0
용암보건진료소,0
토성면보건지소,0
성천보건진료소,0
어천보건진료소,0
흘리보건진료소,0
명파보건진료소,0
송정보건진료소,0
산학보건진료쇼,0
아야진보건지료소,0
서울의원,0
호산한의원,0
바른치과병원,0
박희홍의원,0
한림의원,0
세브란의원,0
고성우리한의원,0
강치과병원,0
명인치과병원,0
제일의원,0
중국한의원,0
고성 좋은 치과병원,0
우리내과의원,0
유정형외과의원,0
수안의원,0
미소치과병원,0
고성군 건강생활지원센터,0
수강한의원,0
익수당한의원,0
동광한의원,0
은광약국,0
신신약국,0
광제약국,0
금강약국,0
도미당약국,0
강원약국,0
현대프라자약국,0
동해시보건소,0
의료법인 동해동인병원,0
근로복지공단 동해병원,0
고헌주치과병원,0
태도치과병원,0
박치과병원,0
오형균정형외과의원,0
옵티마북삼약국,0
희망약국,0
한소아과의원,0
원강한의원,0
이신경과의원,0
심내과의원,0
서외과의원,0
명진약국,0
박원일마취통증의학과의원,0
탁내과의원,0
백신경외과의원,0
태화약국,0
하나약국,0
최진희치과병원,0
고산부인과의원,0
동서약국,0
이이비인후과의원,0
천곡치과병원,0
이승재내과의원,0
장창수치과병원,0
성심의원,0
아름다운치과병원,0
임내과의원,0
원플러스원비뇨기과의원,0
연세치과병원,0
김주선치과병원,0
온누리성모약국,0
동해물약국,0
감초당한의원,0
동해정형외과의원,0
광제한의원,0
신소아청소년과의원,0
파티마의원,0
한마음약국,0
보생약국,0
영동약국,0
금강산약국,0
이화약국,0
한빛약국,0
홍제한의원,0
윤이비인후과의원,0
칠성한의원,0
한섬한의원,0
홍정안외과의원,0
조은약국,0
Dr. 하석우의 한사랑의원,0
경희약손한의원,0
이옥찬내과의원,0
참조은치과병원,0
중앙치과병원,0
영동치과병원,0
할아버지한의원,0
연세의원,0
영동한의원,0
우리한의원,0
그레이스산부인과의원,0
하나로약국,0
열린이비인후과의원,0
서울의원,0
박정형외과의원,0
정약국,0
동해약천온천실버타운의원,0
성모안과의원,0
굿모닝치과병원,0
북평해맑은한의원,0
튼튼소아과의원,0
북평의원,0
누니부신피부과의원,0
해맑은약국,0
중앙제일한의원,0
이재웅성형외과의원,0
동해이레요양병원,0
한마음병원,0
메디칼25시약국,0
동해한의원,0
미소약국,0
연세약국,0
삼화보건지소,0
하나통증의학과의원,0
꾸러기소아과의원,0
동해금강요양병원,0
김약국,0
서울베스트안과의원,0
동해금강의원,0
삼삼온누리약국,0
누가이비인후과의원,0
강남프라자약국,0
이연수내과의원,0
이플란트치과병원,0
부곡의원,0
무지개약국,0
건강약국,0
정다운치과병원,0
으뜸길약국,0
한성약국,0
아라한의원,0
김인수정형외과의원,0
패밀리치과병원,0
드라마치과병원,0
치아사랑치과병원,0
시네마약국,0
그린옵티마약국,0
예스치과병원,0
연세진의원,0
호재의원,0
365사랑의원,0
아이맘산부인과의원,0
베네치아치과병원,0
우리가족치과병원,0
동해요양병원,0
대학로약국,0
삼성약국,0
동해화이트치과병원,0
All바른의원,0
제일의원,0
조아가정의학과의원,0
청운마취통증의학과의원,0
그랜드약국,0
하얀미소치과병원,0
세종의원,0
우리들연합의원,0
아이리스의원,0
이재현내과의원,0
바른치과교정과치과병원,0
미소디자인치과병원,0
청솔요양병원,0
강원도삼척의료원,0
동서한의원,0
강신우치과병원,0
삼척시보건소,0
고려의원,0
김치과병원,0
김종호내과의원,0
도계광업소의원,0
박종화치과병원,0
김형태치과병원,0
신기보건지소,0
도계보건출장소,0
하장보건지소,0
미로보건지소,0
장호보건진료소,0
노곡보건지소,0
가곡보건지소,0
마읍보건진료소,0
근덕보건지소,0
원덕보건출장소,0
임원보건진료소,0
역둔보건진료소,0
상정보건진료소,0
매원보건진료소,0
성심의원,0
신준호의원,0
서울산부인과의원,0
윤비뇨기과의원,0
박비뇨기과의원,0
우리안과의원,0
문희태신경외과의원,0
삼척병원,0
근덕세란의원,0
우리한의원,0
현대한의원,0
이외과의원,0
청십자내과의원,0
중앙치과병원,0
이재민치과병원,0
도계한의원,0
엄준형이비인후과의원,0
시민한의원,0
원덕의원,0
하얀이치과병원,0
방계원정신건강의학과의원,0
안병두치과병원,0
도계경희한의원,0
경희한의원,0
참한의원,0
서울연세의원,0
근덕하나치과병원,0
해담한의원,0
다솜한의원,0
예일내과재활의학과의원,0
김윤호안과의원,0
강남정형외과의원,0
열린성모이비인후과의원,0
참사랑의원,0
호산의원,0
애플소아청소년과의원,0
나노소아청소년과의원,0
나소아과의원,0
이편한치과병원,0
서울치과병원,0
서울미소치과병원,0
두타한의원,0
이사랑치과병원,0
간디한의원,0
우리치과병원,0
의료법인보광의료재단속초보광병원,0
속초시보건소,0
인심의원,0
정진용치과병원,0
양이비인후과의원,0
최종열산부인과의원,0
"송제일,전종민내과의원",0
강원도속초의료원,0
송소아청소년과의원,0
김봉수외과의원,0
설악정형외과의원,0
안경민치과병원,0
김태영내과의원,0
현대치과병원,0
중원한의원,0
김비뇨기과의원,0
이병호내과의원,0
조비뇨기과의원,0
엠앤비의원,0
제일산부인과의원,0
송춘익내과의원,0
장외과의원,0
이호치과병원,0
구명한의원,0
조관식안과의원,0
새생명한의원,0
서울아산의원,0
조현국치과병원,0
동인당한의원,0
웰치과병원,0
이일남내과의원,0
속초 밝은안과의원,0
개성소아청소년과의원,0
함종대치과병원,0
선치과병원,0
교동치과병원,0
조훈외과의원,0
경희한의원,0
우리치과병원,0
유운수한의원,0
서울정형외과의원,0
고려산부인과의원,0
하나한의원,0
이기호가정의학과의원,0
서울이비인후과의원,0
연세제일치과병원,0
이호영소아청소년과의원,0
아동치과병원,0
명한의원,0
그린치과병원,0
한사랑마취통증의학과의원,0
중앙산부인과의원,0
대추나무한의원,0
세란의원,0
김소아청소년과의원,0
홍영기비뇨기과의원,0
믿음소망치과병원,0
최내과의원,0
신진한의원,0
이현철소아청소년과의원,0
미치과병원,0
우리들마취통증의학과의원,0
이좋은세상치과병원,0
삼성의원,0
연세안과의원,0
속초중앙의원,0
서울영상의학과의원,0
박태훈한의원,0
하얀나라피부과의원,0
금강푸른한의원,0
서울피부과의원,0
한마음한의원,0
서울차내과의원,0
미르이비인후과의원,0
연세필치과병원,0
홍제한의원,0
성심연합의원,0
동해의원,0
한마음치과병원,0
광동한의원,0
신호드림치과병원,0
바른정형외과의원,0
구용치과병원,0
주심한의원,0
속초시민 한의원,0
속초바다의원,0
탑 속편한 내과의원,0
중정한의원,0
속초엔 엘에이치과병원,0
속초가좋아서울에서온 치과병원,0
박정민통증의학과의원,0
본안과의원,0
속초교동한의원,0
속초항맥외과의원,0
현대통증의학과의원,0
서울성형외과의원,0
연세큐치과병원,0
서울경희한의원,0
영동의원,0
열린재활의학과의원,0
굿모닝 의원,0
설악보건의료소비자생활협동조합 진영의원,0
장백한의원,0
이상호내과의원,0
속초정요양병원,0
수치과병원,0
밝은미소치과병원,0
위덴치과병원,0
연세참고운치과병원,0
서울노앤기내과의원,0
해밀한의원,0
중앙한의원,0
이사랑치과병원,0
속초강내과의원,0
스마일준치과병원,0
바른플란트치과병원,0
연세통증의학과의원,0
속초우리요양병원,0
양구부부한의원,0
의료법인 인애병원,0
문윤상한의원,0
이외과의원,0
현대한의원,0
양구치과,0
한사랑내과,0
의료법인 양구성심병원,0
미소치과,0
사랑치과,0
서울치과,0
밝은미래의원,0
양구세브란스 가정의학과의원,0
튼튼의원,0
탑치과,0
양양군보건소,0
서울의원,0
덕성한의원,0
양양한의원,0
연세의원,0
현산치과,0
상명내과의원,0
양양정형외과의원,0
중앙외과의원,0
미래치과병원,0
서울치과병원,0
민치과병원,0
경희한의원,0
성모의원,0
연세이튼치과병원,0
달래촌한의원,0
영월군보건소,0
강원도 영월군 남면보건지소,0
강원도 영월군 한반도면보건지소,0
강원도 영월군 북면보건지소,0
주천통합보건지소,0
강원도영월의료원,0
장재치과병원,0
상동읍보건지소,0
김삿갓면보건지소,0
현대치과병원,0
중동면보건지소,0
무릉보건진료소,0
신천보건진료소,0
운학보건진료소,0
연덕보건진료소,0
호내과의원,0
석항보건진료소,0
제중한의원,0
영월정형외과의원,0
성가의원,0
성윤업내과의원,0
금석의료재단푸른사랑병원,0
영월제일의원,0
연세의원,0
세안의원,0
경희한의원,0
일심한의원,0
주천의원,0
우정외과의원,0
장수한의원,0
송치과병원,0
주천제일의원,0
영월교도소부속의원,0
영월치과병원,0
정해창한의원,0
밝은김안과의원,0
프라임중앙치과병원,0
연세치과병원,0
쌍용한의원,0
삼성수의원,0
상지대학교부속한방병원,0
연세대학교 원주세브란스기독병원,0
원주시보건소,0
문막읍보건지소,0
소초면보건지소,0
호저면보건지소,0
부론면보건지소,0
귀래면보건지소,0
흥업면보건지소,0
신림면보건지소,0
박경종치과병원,0
서울외과의원,0
강원도원주의료원,0
학곡보건진료소,0
한국한센복지협회강원도지부부설복지의원,0
김이비인후과의원,0
경희한의원,0
사제보건진료소,0
비두보건진료소,0
단강보건진료소,0
황둔보건진료소,0
산현보건진료소,0
지정면보건지소,0
김남두비뇨기과의원,0
곽상무내과의원,0
윤강묵이비인후과의원,0
홍성국신경정신과의원,0
고산보건진료소,0
권혁준내과의원,0
박규래정형외과의원,0
동산치과병원,0
중앙정형외과의원,0
중앙치과병원,0
원주카톨릭병원,0
오킴스의원,0
천진호치과병원,0
백피부과의원,0
이재순내과의원,0
스마일치과병원,0
강봉선신경정신과의원,0
이영호치과병원,0
황선달치과병원,0
학교법인상지학원부설상지푸른의원,0
중의한의원,0
이진호이비인후과의원,0
김창동이비인후과의원,0
오은경소아청소년과의원,0
고승연신경외과의원,0
최영권치과병원,0
북원치과병원,0
민제한의원,0
박승진치과병원,0
고려가정의원,0
새마음병원,0
민영의원,0
백태준성형외과의원,0
원일치과병원,0
조안과의원,0
연세치과병원,0
이택훈치과병원,0
부부치과병원,0
안흥한의원,0
위치과병원,0
차신웅내과의원,0
강남영내과의원,0
함경종정형외과의원,0
미소치과병원,0
김대균의원,0
이신경정신과의원,0
박동규치과병원,0
이성우내과의원,0
명성한의원,0
오복치과병원,0
탑치과병원,0
상아치과병원,0
혜민한의원,0
원의원,0
이광훈내과의원,0
세브란스치과병원,0
최해천성형외과의원,0
연세참외과의원,0
서울내과의원,0
송광선내과의원,0
판대보건진료소,0
전치과병원,0
늘푸른치과병원,0
연세본비뇨기과의원,0
정민치과병원,0
연세피부과의원,0
튼튼치과병원,0
중국한의원,0
혜명한의원,0
연규홍소아청소년과의원,0
이하우신경외과의원,0
새봄산부인과의원,0
연세민내과의원,0
원주영상의학과의원,0
대흥한의원,0
세한치과병원,0
송내과의원,0
태장연세의원,0
거북이한의원,0
손경수내과의원,0
예사랑산부인과의원,0
손안과의원,0
미래산부인과의원,0
현대한의원,0
리더스치과병원,0
늘푸른김윤갑한의원,0
최동익성형외과의원,0
하나치과병원,0
만종의원,0
만나한의원,0
광동한의원,0
고려한의원,0
동강한의원,0
의료법인성지의료재단성지병원,0
우리들소아청소년과의원,0
미즈산부인과의원,0
홍기수이비인후과의원,0
연세안과의원,0
상지명인한의원,0
이용규내과의원,0
한초당한의원,0
이형준내과의원,0
김동우외과의원,0
구곡의원,0
최원규소아청소년과의원,0
홍재활의학과의원,0
다정한의원,0
연희영상의학과의원,0
단계뿌리깊은치과병원,0
맑은숲 한의원,0
스마일연세의원,0
21세기소아청소년과의원,0
후생한의원,0
조은가정의원,0
윤장운마취통증의학과의원,0
세진한의원,0
고려외과의원,0
창문외과의원,0
조남천항맥외과의원,0
동의보감한의원,0
토지한의원,0
바른길치과병원,0
한빛소아청소년과의원,0
본치과병원,0
참좋은치과병원,0
태장고려의원,0
신림연세의원,0
늘푸른의원,0
이앤이치과병원,0
승산한의원,0
바른요양병원,0
원주우리병원,0
효성신경외과의원,0
이상봉비뇨기과의원,0
한빛이비인후과의원,0
도홍림이비인후과의원,0
평강한의원,0
연세준내과의원,0
동인당한의원,0
이건내과의원,0
지선당한의원,0
예인한의원,0
엄재동정형외과의원,0
우리가정의원,0
천정학내과의원,0
강윤철피부과의원,0
김영석이비인후과의원,0
닥터스킨피부과의원,0
우리안과의원,0
제일의원,0
미드림의원,0
연우치과병원,0
정내과의원,0
강남한의원,0
앨리스의원,0
베스트이내과의원,0
권한의원,0
양상묵한의원,0
마음편한정신과의원,0
원주연세의원,0
국군원주의원,0
메디시티의원,0
원주교도소부속의원,0
신희경산부인과의원,0
국군원주치과병원,0
원주교도소부속치과병원,0
드림연세안과의원,0
연세고운맘소아청소년과의원,0
경희 해맑은한의원,0
예스치과병원,0
김희성한의원,0
서울수치과병원,0
흥업한의원,0
어진한의원,0
모아한의원,0
한빛치과병원,0
인덕한의원,0
연세플러스비뇨기과의원,0
영광의원,0
연세진성형외과의원,0
미래한의원,0
정웅교비뇨기과의원,0
아침한의원,0
장원재치과병원,0
연세그린내과의원,0
푸른솔의원,0
김정권내과의원,0
우리아이소아청소년과의원,0
은행나무치과병원,0
화이트e치과병원,0
계수나무한의원,0
화성치과병원,0
누가이비인후과의원,0
원주가온한의원,0
연세요양병원,0
현대중앙병원,0
연세순풍산부인과의원,0
연세프라임안과의원,0
원주STM치과병원,0
판부면보건지소,0
당청운한의원,0
연세아이편한치과병원,0
샤인치과병원,0
아름다운산부인과의원,0
고운치과병원,0
총통한의원,0
미플란트치과병원,0
행복한의원,0
동아한의원,0
소나무한의원,0
연세프라임치과병원,0
원주밝은안과의원,0
이솝한의원,0
정병원,0
세일병원,0
중앙의원,0
퀸스영상의학과의원,0
신호드림치과병원,0
하나한의원,0
문막한의원,0
연세장상민재활의학과의원,0
희망정형외과의원,0
연세 탑 이비인후과의원,0
아나파마취통증의학과의원,0
강훈소아청소년과의원,0
경희미려한의원,0
박동훈내과의원,0
연세수비뇨기과의원,0
굿모닝치과병원,0
연세남부정형외과의원,0
연세소울정신건강의학과의원,0
백록담한의원,0
안아픈세상재활의학과의원,0
e-플란트미래치과병원,0
로스윌서울이싫어내려온치과병원,0
연세맑은내과의원,0
바른몸한의원,0
서동한의원,0
편안한마취통증의학과의원,0
내안에병원,0
율산부인과의원,0
뉴코웰이비인후과의원,0
부론한의원,0
정운기한의원,0
원주클라인치과병원,0
원주웰치과병원,0
천일한의원,0
연세스카이치과병원,0
백두한의원,0
엔치과병원,0
서이비인후과의원,0
원주함소아한의원,0
서울인성치과병원,0
고은아이치과병원,0
조양병원,0
연세신경외과의원,0
원주의원,0
미즈유외과의원,0
치악산한의원,0
생명수한의원,0
이경국치과병원,0
문막애치과병원,0
하얀이치과병원,0
선율당한의원,0
원주민중요양병원,0
영광병원,0
원주효요양병원,0
더사랑병원,0
21세기병원,0
센트럴병원,0
원주마디정형외과의원,0
유로진비뇨기과의원,0
화평당한의원,0
으뜸한의원,0
신월랑한의원,0
키즈클라인치과병원,0
유앤미한의원,0
마리치과병원,0
임수빈내과의원,0
나라연소아청소년과의원,0
프렌즈치과병원,0
서울에이스치과병원,0
스카이치과병원,0
청담심스성형외과의원,0
원주샘치과병원,0
명륜한의원,0
이현주한의원,0
Dr. 구의원,0
원주그린병원,0
위즈팍 서울정형외과의원,0
이사랑치과병원,0
센트럴부부치과병원,0
플러스한의원,0
오렌지가정의원,0
베스트치과병원,0
예그린한의원,0
28지킴이치과병원,0
고은의원,0
고은미래의원,0
세명치과병원,0
셀레스의원,0
키노치과병원,0
제민당한의원,0
여민한의원,0
광인당한의원,0
성심한의원,0
원주한마음요양병원,0
불로한방병원,0
우성애 여성의원,0
중앙메디칼 연합의원,0
신중한의원,0
강남제이스타의원,0
이스타치과병원,0
신샘내과의원,0
키즈메디소아청소년과의원,0
사랑손한의원,0
최경훈 내과의원,0
유디치과병원,0
원주의료복지사회적협동조합 밝음의원,0
연세이비인후과의원,0
소망의원,0
흥업성모의원,0
후한의원,0
킴스주니어치과병원,0
현대요양병원,0
민이비인후과의원,0
연세사랑나눔치과병원,0
스토리치과병원,0
이요성정신건강의학과의원,0
중앙한의원,0
닥터유 부부치과병원,0
닥터후치과병원,0
에이스치과병원,0
우리가족한의원,0
연세부부치과병원,0
다온재활의학과의원,0
삼성조은내과의원,0
해문한의원,0
서울윤치과병원,0
연세키즈 소아청소년과의원,0
이성문한의원,0
타토아의원,0
서울메디칼의원,0
치과의정석치과병원,0
연세메디컬의원,0
반곡한의원,0
원주치과병원,0
맨 남성의원,0
고석만정신건강의학과의원,0
서울열린치과병원,0
도담내과의원,0
좋은우리치과병원,0
새날한의원,0
연세 혁신내과의원,0
기린한의원,0
닥터리치과병원,0
연세리더스의원,0
맥한의원,0
오케이치과병원,0
게르마늄한의원,0
연세메디하임병원,0
남부시민의원,0
연세사랑모아 하이푸 의원,0
해담한의원,0
청담한의원,0
꿈에의원,0
"우리마을소아청소년과,가정의학과의원",0
미올한의원 원주점,0
마음사랑 정신건강의학과의원,0
서울성모마취통증의학과의원,0
하늘빛 정신건강의학과 의원,0
삼대한의원,0
정직한치과병원,0
몸편안한의원,0
보리한의원,0
남부밝은안과의원,0
의료법인 신창의료재단 에이치병원,0
원주연세병원,0
원주신경외과의원,0
죠훈신경외과의원,0
하이맨비뇨기과의원,0
그랜드치과병원,0
보강한의원,0
연세열린내과의원,0
건강한치과병원,0
더편한정형외과의원,0
엄마맘소아청소년과의원,0
박현민성형외과의원,0
경희나무한의원,0
강남대동한의원,0
부부소아청소년과의원,0
하늘치과병원,0
산들한의원,0
연세이튼치과병원,0
에벤에셀치과병원,0
삼성서울치과병원,0
서울매일치과병원,0
삼성서울 치과교정과 치과병원,0
문막동화한의원,0
희빈한뜸한의원,0
인제군보건소 ,0
원통의원,0
한림의원,0
서울치과병원,0
인제고려병원,0
한사랑의원,0
현인요양병원,0
부부한의원,0
현리주민의원,0
인제수치과병원,0
현대치과병원,0
진영한의원,0
설악의원,0
김안과의원,0
서울의원,0
토종한의원,0
성심한의원,0
원통한의원,0
우리치과병원,0
원통미소치과병원,0
인제온가족치과병원,0
우리연합의원,0
조은의원,0
임계한의원,0
정선한의원,0
이치과병원,0
대성한의원,0
전의원,0
한내과의원,0
유명치과병원,0
우리들의원,0
다나치과병원,0
서울가정의학과의원,0
연세외과의원,0
연세의원,0
김안과의원,0
중화당한의원,0
고운미소치과병원,0
경희한의원,0
제일의원,0
사북연세치과병원,0
하나의원,0
근로복지공단정선병원,0
정선군립병원,0
철원군보건소,3
대마보건진료소,0
도창보건진료소,2
지경보건진료소,0
내대보건진료소,0
양지보건진료소,0
마현보건진료소,0
잠곡보건진료소,0
김화보건지소,0
서면보건지소,0
근남보건지소,0
통합보건지소,0
이민기치과병원,0
양천한의원,0
서울외과의원,0
대성한의원,0
한양신경외과의원,0
미래치과병원,0
삼광의원,0
상아치과병원,0
철원중앙의원,0
김화치과병원,0
중앙치과병원,0
윤가정의원,0
진정한의원,0
현대치과병원,0
김현대내과의원,0
고운가정의학과의원,0
한마음의원,0
만복한의원,0
편안한이내과의원,0
예인의원,0
신농씨한의원,0
동원한의원,0
제일의원,0
서울치과병원,0
이복순의원,0
연세사랑의원,0
성요셉의원,0
철원열린의원,0
강남아이원안과의원,0
안이비인후과의원,0
동송제일정형외과의원,0
스마일치과병원,0
철원한의원,0
융한의원,0
박이비인후과의원,0
황효섭비뇨기과의원,0
춘천채안과의원,0
김병렬내과의원,0
인구보건복지협회강원지회가족보건의원,0
유영호치과병원,0
서울치과병원,0
춘천영상의학과의원,0
최훈정형외과의원,0
최치은치과병원,0
경희한의원,0
한피부과의원,0
전진학치과병원,0
한베드로치과병원,0
동제한의원,0
이승훈내과의원,0
권이비인후과의원,0
영의원,0
성신한의원,0
김인구정형외과의원,0
김영근치과병원,0
한국건강관리협회건강증진의원,0
춘천의원,0
나치과병원,0
미즈앤미의원,0
에이플러스남강치과병원,0
홍종대치과병원,0
허치과병원,0
박대진치과병원,0
후평성심의원,0
영광한의원,0
최병기재활의학과의원,0
연세치과병원,0
방희균한의원,0
강원도청 부속의원,0
김호준외과의원,0
한세의원,0
성진한의원,0
삼기당한의원,0
혜성의원,0
동일한의원,0
연세이편한치과병원,0
올리브치과병원,0
현대의원,0
김성권치과병원,0
복십자의원,0
신해철신경외과의원,0
이사랑치과병원,0
혜인치과병원,0
윤석만치과병원,0
벽촌한의원,0
한빛치과병원,0
강수만치과병원,0
동부연세치과병원,0
사랑정신건강의학과의원,0
한솔치과병원,0
한림치과병원,0
연세조안과의원,0
연세강이비인후과의원,0
연세주피부과의원,0
믿음치과병원,0
임정근내과의원,0
참가정의원,0
동락가정의학과의원,0
미치과병원,0
미래산부인과의원,0
우덕안한의원,0
하나치과병원,0
강원한의원,0
세정치과병원,0
부민한의원,0
홍치과병원,0
서울의원,0
사랑심는치과병원,0
하나의원,0
이봉휘내과의원,0
고려비뇨기과의원,0
동아연세치과병원,0
심상현치과병원,0
연세아이나라치과병원,0
조도연정형외과의원,0
하나한의원,0
한국종합의원,0
문유보이비인후과의원,0
연세바른치과병원,0
석사성모의원,0
경희장수한의원,0
길한의원,0
열린치과병원,0
구철회내과의원,0
민병철내과의원,0
온세의원,0
육림한의원,0
대추나무한의원,0
김정배이비인후과의원,0
이대광성형외과의원,0
영인의원,0
태인한의원,0
유펜세브란스치과병원,0
현대정형외과의원,0
우리가정의학과의원,0
허남현내과의원,0
이하형치과병원,0
호산부인과의원,0
아름다운산부인과의원,0
누가이비인후과의원,0
성심안과의원,0
사랑마취통증의학과의원,0
참사랑내과의원,0
현대연합의원,0
우리정형외과의원,0
강남S치과병원,0
사랑나무 소아청소년과의원,0
석사한섬한의원,0
성심의원,0
파티마의원,0
심소아청소년과의원,0
소림한의원,0
권재활의학과의원,0
안정신건강의학과의원,0
메리트치과병원,0
예당치과병원,0
태광한의원,0
희망한의원,0
윤동석내과의원,0
원정형외과의원,0
상쾌한아침외과의원,0
조세흠성형외과의원,0
효자한림의원,0
이정열내과의원,0
이튼치과병원,0
한중한의원,0
중앙재활의학과의원,0
배재천신경과의원,0
동인당한의원,0
송이비인후과의원,0
김내과의원,0
서울삼성치과병원,0
우성재활의학과의원,0
봄내한의원,0
웰비뇨기과의원,0
남궁현 한의원,0
석사성심안과의원,0
윤화준소아청소년과의원,0
우리소아과의원,0
신주호정형외과의원,0
변미숙산부인과의원,0
로덴치과병원,0
대광당김영두한의원,0
위드미치과병원,0
e조은치과병원,0
삼화당한의원,0
다사랑의원,0
하나내과의원,0
춘천순산부인과의원,0
포인트피부과의원,0
김도훈재활의학과의원,0
고석연가정의학과의원,0
춘천교도소부속치과병원,0
춘천교도소부속의원,0
서울삼성의원,0
춘천예치과병원,0
이광호한의원,0
안정효내과의원,0
이영순내과의원,0
민치과병원,0
미가람한의원,0
SC알통의원,0
서울수치과병원,0
석사호의원,0
